term,antonyms
нахождение,"маскировка, потеря, пропажа"
национальный,"всемирный, личный, международный, межнациональный, мировой"
начало,"конец, окончание, завершение, заключение, финиш, закрытие, итог, уничтожение, результат, крушение, финал, прекращение, подсчет, отмена"
начальник,подчиненный
начальный,"конечный, заключительный, законченный, итоговый, оконечный, окончательный, поздний, завершающий, суммарный, суммирующий, финальный, финитарный, финитный, последний"
начать,"окончить, кончить, закончить, завершать, закончиться, порвать, покончить, отбрить, увенчать, пресечь, разделаться, прекратить, завершить, прервать"
начаться,"кончиться, закончиться, замереть, затихнуть, иссякнуть, истощиться, исчерпаться, истечь, оборваться, отступить, перестать, погаснуть, прекратиться, пройти, стихнуть, увенчаться, утихнуть, завершиться, окончиться"
начерно,набело
начин,окончание
начинание,остановка
начинать,"заканчивать, кончать, оканчивать, завершать, заканчиваться, закончить, кончить, подавлять, покончить, довершать, прерывать, рвать, стихать, утихать, ставить точку, прекращать"
начинаться,"прекращаться, завершаться, заканчиваться, кончаться, оканчиваться"
начинающий,"искушенный, компетентный, компетентный, искушенный"
начислять,"вычитать, удерживать"
начистить,запачкать
наяву,во сне
неабсолютный,самоочевидный
неавтоматический,автоматический
неадекватность,"адекватность, годность"
неаккуратность,"прилежание, точность"
неактивность,"активность, инициативность, энергичность"
неактуальность,"актуальность, жгучесть, жизненность, злободневность, острота"
небанальность,"стандартность, трафаретность"
небезопасность,"безопасность, надежность, прочность"
небережливый,бережливый
небесный,земной
неблаговидный,благовидный
неблагополучный,"безбедный, благополучный, счастливый, успешный"
неблагопристойный,благопристойный
неблагоприятный,полезный
неблагородно,благородно
неблагородный,благородный
неблагородство,благородство
неблизкий,"ближний, недалекий, недальний, приближающийся, скорый"
неблокирующий,блокирующий
небо,земля
небогато,богато
небогатый,"богатый, зажиточный, изобильный, роскошный"
небольшой,"безмерный, бесконечный, большой, важный, гигантский, громадный, громоздкий, заметный, крупный, нескончаемый, объемный, огромный, пространный, серьезный, громоздкий, бесконечный, большой, крупный, важный, гигантский, громадный, безмерный, заметный, серьезный, нескончаемый, объемный, огромный, пространный"
небрежно,"аккуратно, бережно"
небрежность,"внимательность, добросовестность, прилежание, тщательность"
небывальщина,бывальщина
небылица,быль
небытие,"бытие, жизнь"
неважно,"значительно, важно, хорошо"
неважность,"важность, значимость"
неважный,"высокоприоритетный, главный, значащий, значительный, ключевой, веский, основной, первейший, серьезный, существенный, убедительный, узловой, важный, значительный, важный, ключевой, высокоприоритетный, главный, значащий, веский, основной, первейший, серьезный, существенный, убедительный, узловой"
неведение,осведомленность
неведомый,"знакомый, известный"
невежда,"знаток, мастер, мудрец, ученый, философ, эксперт, эрудит"
невежественность,"грамотность, образованность"
невежливый,"вежливый, учтивый"
невезение,"процветание, экономическое процветание"
невезучий,удавшийся
невеликий,большой
неверие,вера
неверифицируемый,верифицируемый
неверно,истинно
неверность,"верность, безошибочность, истинность"
неверный,"верный, истинный, объективный, точный, верный, истинный, точный, объективный"
невероятный,"вероятный, возможный, правдоподобный, приемлемый"
невесело,весело
невеселый,веселый
невесомый,тяжелый
невзгоды,радости
невзрачный,"великолепный, видный, поразительный, пышный, шикарный, яркий"
невзыскательность,"взыскательность, суровость"
невиданный,обыкновенный
невидимый,"открытый, явный"
невинность,виновность
невинный,"виноватый, виновный, грешный"
невиноватый,"виноватый, виновный"
невиновность,виновность
невиновный,виноватый
невместительный,"емкий, поместительный"
невмешательство,"вторжение, интервенция"
невнимание,"почитание, сосредоточенность, принятие во внимание"
невнимательность,"внимательность, заинтересованность, интерес, сосредоточенность, тщание, тщательность, принятие во внимание"
невнятный,"объяснимый, ясный"
невозвратимый,возвратимый
невозвратный,возвратимый
невозделанный,"возделанный, распаханный, тронутый"
невозделаный,культивированный
невоздержанный,"спокойный, умеренный"
невозмещаемый,возмещаемый
невозможность,"вероятность, возможность, случай, средство"
невозмутимый,ограниченный
невольник,вольный человек
невольно,вольно
невольность,преднамеренность
невольный,"вольный, преднамеренный"
невооруженный,вооруженный
невосприимчивость,"восприимчивость, впечатлительность, подверженность, чувствительность"
невостребованный,востребованный
невразумительно,понятно
невразумительность,"вразумительность, общедоступность, отчетливость, четкость, членораздельность, ясность"
невразумительный,"вразумительный, простой"
невредимый,неполный
невредный,"вредный, опасный"
невспаханный,вспаханный
невыгода,выгода
невыгодно,выгодно
невыгодность,"выгодность, польза, рентабельность"
невыгодный,"выгодный, доходный, прибыльный"
невыдающийся,"видный, прославленный"
невыполнимость,"выполнимость, исполнимость"
негарантированный,"гарантированный, покрытый"
негативизм,позитивизм
негативно,позитивно
негативность,позитивность
негативный,"позитивный, положительный, утвердительный"
негибкий,"гибкий, гнущийся"
негибкость,мягкость
неглавный,"основной, основополагающий, первейший, стержневой, узловой"
негласный,недоверчивый
неглубокий,"внутренний, глубокий, доскональный, полный"
негнущийся,"гибкий, гнущийся, ковкий, мягкий"
негодность,"исправность, пригодность, соответствие требованиям"
неготовый,готовый
неграмотно,грамотно
неграмотность,"грамотность, искушенность, компетентность, образование, обучение, ученость"
неграмотный,"грамотный, компетентный, сведущий, осведомленный, ученый"
негромкий,шумный
недавний,"давнишний, прошлый"
недавно,давно
недалёкий,"далёкий, неблизкий, нескорый, широкий"
недалеко,далеко
недейственный,полезный
недействительный,"вещественный, действительный, материальный, настоящий, подлинный, реальный, результативный, фактический, эффективный"
недействующий,"действующий, рабочий"
неделимость,раздельность
недетерминированность,"детерминированность, конкретность"
недеятельный,"деятельный, инициативный, энергичный"
нединамический,динамический
недисциплинированный,исполнительный
недобор,перебор
недобрать,перебрать
недоброжелательность,доброжелательность
недоброкачественный,"доброкачественный, добротный, недурной, отменный, первоклассный, превосходный, прекрасный, высокого качества"
недобросовестность,добросовестность
недобросовестный,"добросовестный, старательный"
недоброхотство,дружелюбие
недовар,перевар
недоваривать,переваривать
недоверие,"доверие, вера, легковерие, легковерность"
недоверчиво,доверчиво
недоверчивость,доверчивость
недоверчивый,"доверчивый, негласный"
недовешивать,перевешивать
недовольство,"одобрение, удовлетворение"
недовыполнять,перевыполнять
недогибать,перегибать
недоговоренность,"высказанность, откровенность"
недоговорка,"высказанность, досказанность, откровенность"
недоговорный,договорный
недогружать,перегружать
недогрузить,перегрузить
недогрузка,перегрузка
недоделанный,готовый
недозволенный,"дозволенный, дозволительный, разрешенный"
недозрелый,переспелый
недокаливать,перекаливать
недокармливать,перекармливать
недокидывать,перекидывать
недоконченный,завершенный
недокорм,перекорм
недокормить,перекормить
недолгий,"долгий, вечный, длинный, долговременный, долгосрочный, продолжительный"
недолго,долго
недолговечность,"долговечность, живучесть, жизнестойкость, прочность, стойкость"
недолёт,перелёт
недолетать,перелетать
недолив,перелив
недоливать,переливать
недомолвка,"высказанность, определенность, откровенность"
недооценивать,переоценивать
недооценить,переоценить
недооценка,"переоценка, преувеличение"
недоплата,переплата
недоплатить,переплатить
недоплачивать,переплачивать
недопустимый,"допустимый, мыслимый, позволительный, приемлемый, терпимый"
недорогой,дорогой
недосаливать,пересаливать
недосказанность,"высказанность, досказанность, откровенность"
недослушивать,"выслушивать, заслушивать, слушать"
недосол,пересол
недосолить,пересолить
недоставать,"наводнять, переполнять, хватать, быть в изобилии"
недостаток,"избыток, достоинство, зажиточность, излишек, благополучие, изобилие, насыщение, полнота, присутствие, совершенство, излишнее количество"
недостаточно,избыточно
недостаточность,"избыточность, годность, достаточность, широта"
недостаточный,"излишний, избыточный, достаточный, изобильный, изобилующий, веский, исправный, крупный, осязаемый, полный, совершенный, убедительный, широкий, щедрый, яркий, излишний, избыточный, достаточный, исправный, изобилующий, изобильный, веский, крупный, осязаемый, полный, совершенный, убедительный, широкий, щедрый, яркий"
недостача,"излишек, избыток, изобилие, присутствие"
недостающий,присутствующий
недостижимость,"возможность, выполнимость, общедоступность, осуществимость, отчетливость, реальность"
недостоверность,"достоверность, определенность, точность, уверенность"
недостойный,"достойный, стоящий"
недоступность,"достижимость, доступность, осуществимость, реальность"
недосчитываться,обрести
недосягаемый,"достижимый, досягаемый"
недоучка,профессионал
недохвалить,перехвалить
недохватка,перебор
недочет,изобилие
недруг,"друг, союзник"
недружелюбие,"дружелюбие, дружелюбность, дружественность"
недурной,"недоброкачественный, дурной"
недюжинность,"заурядность, обычность"
неестественно,естественно
неестественность,"естественность, заурядность, нормальность, обычность"
неестественный,"естественный, заурядный, нормальный, обычный, правильный"
нежданный,"предвиденный, предусмотренный"
нежелательно,желательно
неженатый,женатый
неживой,живой
нежизненный,актуальный
нежно,грубо
нежность,грубость
нежный,грубый
незабвенный,забвенный
незабываемый,"забвенный, обыденный"
незавершенность,завершенность
независимо,зависимо
независимость,"взаимозависимость, зависимость, кабала, несамостоятельность, повиновение, подвластность, подневольность, подчинение, подчиненность, покорность, послушание"
независимый,"подневольный, зависимый, несамостоятельный, подвластный, подначальный, взаимозависимый, подчиненный, подчиняющийся, разомкнутый, связанный, смежный, находящийся под игом, подневольный, подчиненный, зависимый, несамостоятельный, подвластный, подначальный, взаимозависимый, находящийся под игом, подчиняющийся, разомкнутый, связанный, смежный"
незагрязненный,грязный
незадекларированный,объявленный
незадолго,задолго
незаконно,законно
незаконность,"законность, соблюдение закона"
незаконный,"законный, допустимый, легальный, праведный, правомерный, разрешенный, справедливый, толерантный, законный, праведный, легальный, допустимый, правомерный, разрешенный, справедливый, толерантный"
незаконченный,"доконченный, законченный"
незакрепленный,"закрепленный, фиксированный"
незамедлительность,несрочность
незаменимый,взаимозаменяемый
незаметность,"заметность, приметность"
незамещенный,занятый
незамкнутый,замкнутый
незанятые,работающие
незанятый,"занятый, заполненный"
незапатентованный,запатентованный
незапирающий,блокирующий
незаполненный,заполненный
незапятнанный,"запятнанный, порочный"
незаслуженный,заслуженный
незатронутый,тронутый
незаурядность,"банальность, заурядность, стандартность, стереотипность, шаблонность, избитость"
незащищенный,непробиваемый
нездоровый,"здоровый, полезный"
нездоровье,здоровье
незлобие,зло
незлободневный,"животрепещущий, жизненный"
незлой,"злой, недобрый"
незнаемый,"знакомый, известный"
незнакомый,"знакомый, знаменитый"
незнаменитый,"знаменитый, популярный, прославленный"
незнание,"знание, осведомленность"
незначащий,"значащий, значимый, значительный, основной"
незначимость,"судьбоносность, эпохальность"
незначительность,"важность, значимость, значительность, немаловажность, серьезность, существенность"
незрелый,"зрелый, искушенный"
незыблемость,"нерешительность, неустойчивость, податливость, сокрушимость"
неизбежность,случайность
неизвестность,"известность, знаменитость, популярность, признание"
неизвестный,"известный, знакомый"
неизгладимый,"забвенный, незначительный"
неизданный,изданный
неизменно,неоднородно
неизменность,"изменчивость, изменяемость, нерешительность, нестабильность, неустойчивость"
неизменный,"изменяемый, колеблющийся, непостоянный, неустойчивый, переменный, предательский, случайный, изменяемый, колеблющийся, случайный, непостоянный, неустойчивый, переменный, предательский"
неизменчивый,"изменчивый, неритмичный"
неизменяемость,"изменчивость, колебание, непостоянство, переменчивость"
неизменяющийся,переменный
неизмеримый,узкий
неизъяснимый,"объяснимый, постижимый"
неимоверный,обыкновенный
неимущий,"имущий, зажиточный, обеспеченный"
неинкассированный,инкассированный
неинтенсивный,"насыщенный, яркий"
неинтересно,интересно
неинтересный,"интересный, выдающийся, увлекательный"
неискренний,искренний
неискренно,искренно
неискренность,искренность
неискусный,искусный
неискушенность,"искушенность, многоопытность, образованность, опытность, умудренность"
неисполнение,исполнение
неисполнимость,"возможность, выполнимость, исполнимость, реальность"
неиспользование,перегрузка
неиспользованный,"использованный, потертый, старый, устарелый"
неисправность,"исправность, отлаженность"
неиспытанный,"испытанный, проверенный"
неисследованный,"достоверный, знакомый, известный, испытанный, прошедший испытания"
неистовый,"пассивный, спокойный, тихий"
неистощенный,истощенный
неистребованный,востребованный
неисчерпанный,исчерпанный
неисчислимость,исчислимость
нейтральный,крайний
некачественный,"высокопробный, качественный, отличный, высокого качества"
неквалифицированный,"грамотный, квалифицированный, умелый"
неколебимость,"неустойчивость, призрачность, сокрушимость"
неколеблющийся,непостоянный
некоммерческий,торговый
некоммуникабельный,"коммуникабельный, контактный"
некомпетентность,"искушенность, компетентность, образованность, опытность, осведомленность, ученость"
неконвертируемый,обратимый
неконкурентный,конкурентный
неконтактный,общительный
неконтрактный,договорный
неконтролируемость,контролируемость
неконфликтующий,конфликтный
некорректный,справедливый
некрасиво,красиво
некрасивость,"красота, красивость"
некрасивый,"красивый, прекрасный"
некрепкий,крепкий
некрепко,крепко
некстати,"кстати, впопад, к месту"
нелегально,легально
нелегальность,"законность, открытость"
необдуманность,осмотрительность
необеспеченный,"гарантированный, зажиточный, обеспеченный"
необитаемый,"густонаселенный, заселенный, многолюдный, населенный, обитаемый"
необоримость,преодолимость
необоснованность,"аргументированность, обоснованность, основательность"
необрабатываемый,обрабатываемый
необработанный,"обработанный, очищенный"
необразованность,"искушенность, компетентность, образованность, опытность"
необратимый,обратимый
необузданный,спокойный
необходимый,"бесполезный, ненужный, излишний, лишний"
необщительно,общительно
необщительность,"общительность, коммуникабельность"
необщительный,общительный
необъективность,"непредвзятость, объективность"
необъявленный,объявленный
необъяснимый,объяснимый
необъятный,узкий
необыкновенно,"обыкновенно, обыкновенно"
необыкновенность,"банальность, заурядность, обыденность, обычность, пошлость"
необыкновенный,"обыкновенный, штампованный, стандартный, стереотипный, будничный, банальный, простой, элементарный, широко распространенный, обычный, заурядный, трафаретный, ходячий, обыкновенный, будничный, заурядный, обычный, простой, стандартный, стереотипный, банальный, ходячий, штампованный, элементарный, широко распространенный, трафаретный"
необычно,"естественно, обычно, своим чередом, естественным путем, своим чередом, естественным путем, обычно"
необычность,"нормальность, обыкновенность, обычность, повседневность"
необычный,"второстепенный, заурядный, нередкий, обычный, рядовой, шаблонный, нормальный, будничный, обыкновенный"
необязательный,обязательный
неограниченность,ограниченность
неограничивающий,ограничивающий
неодинаковый,схожий
неоднозначный,однозначный
неоднократный,единственный
неоднородно,"монотонно, неизменно, однообразно, равномерно, однообразно, равномерно, монотонно, неизменно"
неоднородность,"гомогенность, единообразие, одинаковость, однообразность, однородность, одноцветность"
неоднородный,"гомогенный, гладкий, однотонный, цельный, одинаковый, однообразный, однообразный, гомогенный, однотонный, цельный, одинаковый, гладкий"
неодобрение,"одобрение, подтверждение, санкция"
неодолимость,преодолимость
неодомашненный,прирученный
неоживленный,активный
неожидаемый,"вероятный, предполагаемый"
неожиданный,"ожидаемый, предвиденный, предусмотренный"
неологизм,архаизм
недогрузка,перегрузка
недоделанный,готовый
недозволенный,"дозволенный, дозволительный, разрешенный"
недозрелый,переспелый
недокаливать,перекаливать
недокармливать,перекармливать
недокидывать,перекидывать
недоконченный,завершенный
недокорм,перекорм
недокормить,перекормить
недолгий,"долгий, вечный, длинный, долговременный, долгосрочный, продолжительный"
недолго,долго
недолговечность,"долговечность, живучесть, жизнестойкость, прочность, стойкость"
недолёт,перелёт
недолетать,перелетать
недолив,перелив
недоливать,переливать
недомолвка,"высказанность, определенность, откровенность"
недооценивать,переоценивать
недооценить,переоценить
недооценка,"переоценка, преувеличение"
недоплата,переплата
недоплатить,переплатить
недоплачивать,переплачивать
недопустимый,"допустимый, мыслимый, позволительный, приемлемый, терпимый"
недорогой,дорогой
недосаливать,пересаливать
недосказанность,"высказанность, досказанность, откровенность"
недослушивать,"выслушивать, заслушивать, слушать"
недосол,пересол
недосолить,пересолить
недоставать,"наводнять, переполнять, хватать, быть в изобилии"
недостаток,"избыток, достоинство, зажиточность, излишек, благополучие, изобилие, насыщение, полнота, присутствие, совершенство, излишнее количество"
недостаточно,избыточно
недостаточность,"избыточность, годность, достаточность, широта"
недостаточный,"излишний, избыточный, достаточный, изобильный, изобилующий, веский, исправный, крупный, осязаемый, полный, совершенный, убедительный, широкий, щедрый, яркий, излишний, избыточный, достаточный, исправный, изобилующий, изобильный, веский, крупный, осязаемый, полный, совершенный, убедительный, широкий, щедрый, яркий"
недостача,"излишек, избыток, изобилие, присутствие"
недостающий,присутствующий
недостижимость,"возможность, выполнимость, общедоступность, осуществимость, отчетливость, реальность"
недостоверность,"достоверность, определенность, точность, уверенность"
непередвижной,переносный
неперекрываемость,пересекаемость
неперекрывающийся,перекрывающийся
неперемежающийся,перемежающийся
непеременный,перемежающийся
непереносимый,терпимый
непересекаемость,пересекаемость
непересекающийся,перекрывающийся
неперечеркнутый,перечеркнутый
непериодический,"периодический, повторяющийся, рекуррентный"
непиковый,пиковый
неплатежеспособный,состоятельный
неплодородный,плодородный
неплодотворный,"плодотворный, производительный, эффективный"
неплотный,плотный
непобедимость,"нерешительность, сокрушимость"
неповинность,виновность
неповиновение,повиновение
неповторимость,обыденность
неповторяющийся,"возвратный, периодичный, рекуррентный"
непогода,погода
непогожий,погожий
неподавленный,подавленный
неподалеку,"вдали, далеко"
неподатливый,"покорный, тихий"
неподверженность,"восприимчивость, подверженность"
неподвижность,"движение, мобильность"
неподготовленность,опытность
неподдельный,"деланный, искусственный, ненастоящий, ненатуральный, неподлинный, поддельный, притворный, синтетический, фальшивый"
неподкупность,продажность
неподлинный,"неподдельный, подлинный"
неподобающий,"надлежащий, подобающий, соответственный, соответствующий"
неподписанный,с подписью
неподражаемый,превзойденный
неподтвержденный,наиболее вероятный
неподходящий,"благоприятный, выгодный, подходящий, полезный, применимый, уместный"
неподчинение,"подчинение, послушание"
неподъемный,легкий
непозволительный,"позволительный, приемлемый"
непознаваемый,познаваемый
непоколебимость,"неустойчивость, сокрушимость"
непокорно,покорно
непокорность,"покорность, непрекословие, повиновение, податливость, подчинение"
непокорный,покорный
непокрытый,покрытый
неполнота,полнота
неполученный,полученный
непомерный,обыкновенный
непонятно,"понятно, ясно, понятно, ясно, ясно, понятно"
непонятность,ясность
непонятный,"понятный, ясный, объяснимый, отчетливый, очевидный, азбучный, прозрачный, ясный, понятный, азбучный, очевидный, отчетливый, прозрачный, объяснимый"
непопадание,успех
непоправимость,исправимость
непопулярность,"известность, лавры, популярность, слава"
непорочность,испорченность
непорядок,"порядок, гармония"
непорядочный,"порядочный, приличный, пристойный"
непоседливый,заторможенный
непоследовательность,последовательность
непослушание,"непрекословие, послушание"
непослушность,"покладистость, послушность, уступчивость"
непослушный,"послушный, покорный"
непосредственно,"опосредованно, опосредствованно"
непосредственный,"непрямой, опосредованный, побочный, опосредствованный"
непостижимый,"объяснимый, познаваемый"
непостоянно,постоянно
непостоянность,непрерывность
непостоянный,"неизменный, неколеблющийся, непрекращающийся, неутихающий, бессменный, стабильный, установившийся, устойчивый, постоянный, постоянный, неизменный, неколеблющийся, непрекращающийся, неутихающий, бессменный, стабильный, установившийся, устойчивый"
непостоянство,"логичность, неизменяемость, постоянство, преемственность, решительность, стабильность, уверенность, устойчивость"
непохожесть,"похожесть, схожесть"
непохожий,"похожий, сходный, подобный"
непочтительность,уважение
неправда,"правда, достоверность, истина, истинность, точность, факт"
неправдоподобный,правдоподобный
неправедный,заслуженный
неправильно,"истинно, объективно, по заслугам, непредубежденно, непредубежденно, по заслугам, объективно, истинно"
неправильность,"истинность, норма, нормальность, правда, правильность"
неправильный,"истинный, логический, верный, исправный, правильный, строгий, точный, безошибочный, нормальный, образцовый"
неправота,правота
непрактичность,"выгодность, практичность"
непревзойденный,превзойденный
непредвзято,предвзято
непредвзятость,"необъективность, предвзятость, тенденциозность"
непредвзятый,"необъективный, предвзятый, пристрастный"
непредвиденность,предсказуемость
непредельный,ограничивающий
непреднамеренность,"намеренность, предумышленность"
непредсказуемость,предсказуемость
непредсказуемый,предсказуемый
непредставительный,"выдающийся, импозантный, представительный"
непредубежденно,"неправильно, предвзято"
непредубежденность,"лживость, предубежденность"
непредубежденный,"предвзятый, пристрастный"
непредумышленность,намеренность
непредусмотренный,предусмотренный
непредусмотрительность,предусмотрительность
непреклонность,уступчивость
непрекословие,"непокорность, непослушание, сопротивление"
непрекращающийся,"дискретный, непостоянный"
непреложность,"опровержимость, сомнительность"
непременный,случайный
непреодолимость,преодолимость
непререкаемость,"опровержимость, сомнительность"
непрерываемый,прерывный
непрерывистый,сплошной
непрерывность,"дискретность, непостоянность, прерывистость, разрозненность"
непрерывный,"дискретный, прерывистый, прерывный"
непрестанность,прерывистость
непреходящий,"летучий, мимолетный, скоропреходящий"
неприбыльный,"прибыльный, рентабельный, находящийся в активе"
непривлекательный,"привлекательный, притягательный"
неприводимый,приводимый
непривычный,банальный
непригодность,"пригодность, приспособляемость, соответствие"
неприемлемый,"позволительный, приемлемый, рациональный, удовлетворительный, целесообразный"
непризнание,признание
непризнанный,признанный
неприличный,"приличный, благопристойный, пристойный"
неприменимость,"пригодность, соответствие требованиям"
неприметность,"заметность, приметность"
неприметный,заметны
непринужденно,искусственно
непринужденный,скованный
непринятый,общепринятый
неприрученный,цивилизованный
неприспособляемость,приспособляемость
непристойный,приличный
неприступный,достижимый
неприхотливость,"привередливость, прихотливость, требовательность"
непричастность,виновность
неприязнь,"дружелюбие, приязнь, расположение, симпатия"
неприятель,союзник
неприятельский,"дружеский, дружественный"
